Title,Date and Time,Description
Win a WiSTEM T-Shirt,20th April midnight - 31st May midnight,"Enter our draw, open to members and non members"
Mental Health Awareness Week - Sip and Paint,12th May 6pm - 8:30pm,"Sip, Paint, Unwind – A Creative Escape for Mind and Mood"
Red Essex weekly meeting,12th May 6pm - 8pm,Red Essex weekly event.
Milk It!,12th May 9pm - 2am,Lets get cheesy!
Refugee Teaching Programme (RTP) Regular Project,13th May 9:50am - 12:50pm,Teaching English to refugees and asylum seekers in the local community.
Mental Health Awareness Week - Wellbeing Hub,13th May 11am - 2pm,"Reset, Refocus, Reconnect — Your Calm Space on Campus "
Launch Festival 2025,13th May noon - 16th May 6pm,Celebrate our Drama students as they perform their shows!
Mental Health Awareness Week - MissFits Workout,13th May 1:30pm - 2:30pm,
A Rebel's Guide to Gramsci,13th May 7pm - 8:30pm,The Italian Marxist philosopher Antonio Gramsci has been described as the theorist of revolution in the West. Come and hear about his ideas.
Mental Health Awareness Week - Wellbeing Hub,14th May 11am - 2pm,"Reset, Refocus, Reconnect — Your Calm Space on Campus "
Hangout and Study,14th May noon - 5pm,
The Debrief,14th May noon - 15th May midnight,Finish your match and head to the SU Bar for a cheeky pint!
Wine Wednesdays!,14th May noon - 11pm,Why not share the bottle!
Community Creative Writing,14th May 12:30pm - 4th June 2pm,Weekly creative writing sessions to bring the community together and improve wellbeing
Rebel Awards 2025,14th May 6pm - 8pm,Annual awards in celebration of hard work and effort by our members.
All Out Essex,14th May 6:30pm - 9pm,"An end-of-year talent showcase, featuring members of our society and other students."
FED,14th May 11pm - 3am,Favourite time of the week. Blades stand up
Art Club Regular Project,15th May 9:45am - 11:45am,Beginner-friendly crafting sessions to support local adults with learning difficulties.
Refugee Teaching Programme (RTP) Regular Project,15th May 9:50am - 12:50pm,Teaching English to refugees and asylum seekers in the local community.
SU Market,15th May 10am - 5pm,Join us every thursday for our SU Market
Mental Health Awareness Week - Wellbeing Hub,15th May 11am - 2pm,"Reset, Refocus, Reconnect — Your Calm Space on Campus "
SU Miniature Farm,15th May 11am - 4pm,Come and chill the cluck out
